case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,plude,pdmfup,plglac,pmfude_rate,ptenh_out,pqenh_out,klab
1,1500.0,31,438FD3AC,3C644185,3B14EECC,3C56C3DD,45810F92,393F7D68,37F9E322,3581B3DC,36006B00,00000000,39F449F9,438E58AB,3C23ED6A,2
1,1500.0,32,43905D34,3C6EA6AD,3B07EBA1,3C53D33C,457DCB2E,3945784C,37E0EEBA,3581B3C4,35F44568,00000000,3A062754,438F03F8,3C30267C,2
1,1500.0,33,4390E20B,3C790F71,3AF7816B,3C5079CC,45790830,394AD30B,37C98EE8,357FE528,35E7A981,00000000,3A11C4A8,438FA8DD,3C3CA2D9,2
1,1500.0,34,4391623E,3C81BA9A,3AE0B405,3C4CB538,4573D3B2,394F7910,37B3AE84,3578DDA1,35DB0E84,00000000,3A1CB693,43904787,3C495930,2
1,1500.0,35,4391DDC9,3C86E757,3ACB44AC,3C48857A,456E2DEA,39535625,379F37A2,356E5F14,35CE867B,00000000,3A26B5DB,4390E01B,3C563F5F,2
1,1500.0,36,43925491,3C8C07FE,3AB70570,3C43ED22,456819FD,39565799,378C12AD,3560867C,35C22995,00000000,3A2F7CA8,439172BC,3C634A93,2
1,1500.0,37,4392C66E,3C91154B,3AA3C4C0,3C3EF186,45619E44,39586D5D,37744D11,354F82F2,35B61316,00000000,3A36C837,4391FF7C,3C706F3E,2
1,1500.0,38,43933322,3C96065B,3A915155,3C399AE2,455AC460,39598AB8,3752B763,353B94E7,35AA5C9A,00000000,3A3C5D2D,4392866D,3C7DA0AF,2
1,1500.0,39,43939A60,3C9AD0D1,3A7EEFD0,3C33F455,45539935,3959A789,37333500,352509CC,359EFADF,00000000,3A400617,43930794,3C8568A8,2
1,1500.0,40,4393FBCA,3C9F68A7,3A5C0616,3C2E0BD6,454C2CE6,3958C101,3715964F,350F1855,3593E4B5,00000000,3A449E6A,439382F0,3C8BF911,2
1,1500.0,41,439457CD,3CA3D1B7,3A3A4FBA,3C27F38F,4544956F,3956F354,36F47688,34F0CBA1,358A2074,00000000,3A48200F,4393F870,3C91E7A0,2
1,1500.0,42,4394AE66,3CA807CA,3A1A033C,3C21BE8A,453CE919,395453ED,36C29D54,34C1BC7A,3582BBE1,00000000,3A490AF8,439467F8,3C977D49,2
1,1500.0,43,4394FF2F,3CABFF7E,39F6B230,3C1B814E,45353F51,3950F523,3695DA7E,349380E0,357C3F03,00000000,3A471AB7,4394D15B,3C9CEBA9,2
1,1500.0,44,439549B4,3CAFAC8A,39BDA758,3C15528D,452DB1EE,394CF025,365D3F1D,344F9FA6,3572658C,00000000,3A4204F4,43953459,3CA2291B,2
1,1500.0,45,43958D7B,3CB30260,3988F9A2,3C0F4B59,45265D83,39486607,36195784,33AB7962,34E400DC,00000000,3A396AA7,4395908F,3CA72989,2
1,1500.0,46,4395CA00,3CB5F4D2,38ECC000,3C0987C2,451F6224,39438105,357E6099,00000000,00000000,00000000,00000000,4395E569,3CABDDD9,2
1,1500.0,47,43961CDA,3CB6E18D,322BCC77,3C0987C2,451F3C3E,39447F60,2EB8970D,00000000,00000000,00000000,00000000,43963206,3CB031B6,2
1,1500.0,48,43967AD7,3CB9DE12,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,43969592,3CB32FE1,1
1,1500.0,49,4396DBED,3CBE633B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,4396A428,3CB8697E,1
2,1500.0,1,43468000,36F520CD,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,43468000,36F520CD,0
2,1500.0,2,432C228A,339C118B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,43526078,385C7CEA,0
2,1500.0,3,43443F56,36A5EFEE,3A419797,3ECA253E,480AA9EA,36030776,3998DDC7,38600FAB,394E95DF,00000000,3D3452AF,4349080C,36E35909,2
2,1500.0,4,43514FAA,37F36366,3A9F0C0A,3EE0AF94,481A189C,37559DE7,3A0B979E,389DB029,3995102F,00000000,3D2C761A,434F3A84,3762D2AD,2
2,1500.0,5,435C1CB8,38DB2BB9,3AEA121F,3EF63E57,4828C7AB,3852D163,3A61266A,38CD691C,39C615CE,00000000,3D270168,435850B1,384E563A,2
2,1500.0,6,43652714,398F760A,3B1D6F6E,3F058F41,4836D7CB,3915B135,3AA445FB,38FA90B7,39F58AED,00000000,3D22EE89,435DDC66,38A9D85F,2
2,1500.0,7,436CB6C3,3A15699D,3B44D867,3F0FBE24,48445211,39A7C9F0,3ADD0E2C,39111F6F,3A0FD76B,00000000,3D1FB9B8,4362D7D2,3901093A,2
