case,dx,k,ptenh,pqenh,pgeo,pgeoh,paph,pmfu,ptd,pqd,pmfd,pmfds,pmfdq,pdmfdp
4,1500.0,23,438886BE,3BADCD2C,472E9FB9,47342FDA,4762CD6E,3F6458C1,438886BE,3BADCD2C,00000000,00000000,00000000,00000000
4,1500.0,24,4389719C,3BC55ADA,4723B985,47290F97,476B2254,3F66B7B7,4389719C,3BC55ADA,00000000,00000000,00000000,00000000
4,1500.0,25,438A52B7,3BDE95A1,47194407,471E6373,47735AB4,3F688BC3,438A52B7,3BDE95A1,00000000,00000000,00000000,00000000
4,1500.0,26,438B2B2E,3BF705DD,470F38D0,4714249A,477B75D0,3F69D25D,438B2B2E,3BF705DD,00000000,00000000,00000000,00000000
4,1500.0,27,438BFB6F,3C071BD5,47059229,470A4D06,4781B970,3F6A8209,438BFB6F,3C071BD5,00000000,00000000,00000000,00000000
4,1500.0,28,438CC3DF,3C1321FE,46F895EC,4700D74C,4785A886,3F6A900A,438CC3DF,3C1321FE,00000000,00000000,00000000,00000000
4,1500.0,29,438D84D8,3C1F8DE1,46E6BD5B,46EF7D40,478987B5,3F69F2C0,438D84D8,3C1F8DE1,00000000,00000000,00000000,00000000
4,1500.0,30,438E3EA9,3C2C57D6,46D592A5,46DDFD77,478D5682,3F68A23C,438E3EA9,3C2C57D6,00000000,00000000,00000000,00000000
4,1500.0,31,438EF197,3C397739,46C50EC0,46CD27D2,47911463,3F6698CE,438EF197,3C397739,00000000,00000000,00000000,00000000
4,1500.0,32,438F9DDF,3C46E33D,46B52B82,46BCF5AD,4794C0C7,3F63D389,438F9DDF,3C46E33D,00000000,00000000,00000000,00000000
4,1500.0,33,439043B8,3C549241,46A5E396,46AD6155,47985B0D,3F6052C1,439043B8,3C549241,00000000,00000000,00000000,00000000
