case,dx,k,ptenh,pqenh,puen,pven,pten,pqsen,pgeo,pgeoh,paph,ptu,pqu,plu,puu,pvu,ptd_in,pqd_in,pmfd_in,pmfds_in,pmfdq_in,pdmfdp_in
2,1500.0,41,439474A4,3C9E12A8,419272C0,00000000,4394C375,3CAB0DBC,45FF94A2,460A4F09,47B23C0A,43950CD0,3CB27EED,3A82968D,4192E32E,00000000,439474A4,3C9E12A8,00000000,00000000,00000000,00000000
2,1500.0,42,4394E4B2,3CA41B0B,41920869,00000000,43952F75,3CB143C6,45D6A57A,45EA8B2F,47B50844,43955910,3CB61F14,3A576A20,419272C0,00000000,4394E4B2,3CA41B0B,00000000,00000000,00000000,00000000
2,1500.0,43,43954E96,3CA9F918,4191A464,00000000,4395950A,3CB742E8,45B008C7,45C2BFC5,47B7B5C4,43959FFB,3CB97F17,3A2A6596,41920869,00000000,43954E96,3CA9F918,00000000,00000000,00000000,00000000
2,1500.0,44,4395B20D,3CAFA214,41914709,00000000,4395F3DB,3CBCFE27,458BDA08,459D51CA,47BA41BE,4395E14D,3CBC974A,39F9340D,4191A464,00000000,4395B20D,3CAFA214,00000000,00000000,00000000,00000000
2,1500.0,45,43960EB6,3CB50949,4190F0DC,00000000,43964B61,3CC26502,455484C8,4574C48E,47BCA8A3,43961CBA,3CBF6062,39953280,41914709,00000000,43960EB6,3CB50949,00000000,00000000,00000000,00000000
2,1500.0,46,439663FC,3CBA1E60,4190A2A8,00000000,43969ACD,3CC76193,4517010F,45344503,47BEE5BD,43964E28,3CC17CB2,37E1E800,4190F0DC,00000000,439663FC,3CBA1E60,00000000,00000000,00000000,00000000
2,1500.0,47,4396B0FB,3CBECB55,41905DBD,00000000,4396E0CC,3CCBD3D3,44BFE5AF,44F37A35,47C0F26C,4396B150,3CC2DB43,00000000,4190A2A8,00000000,4396B0FB,3CBECB55,00000000,00000000,00000000,00000000
2,1500.0,48,43971561,3CC215AE,419024A8,00000000,43971AC5,3CCF8265,44432FC8,448C5129,47C2C476,43971C61,3CC33D97,00000000,41905DBD,00000000,43971561,3CC215AE,00000000,00000000,00000000,00000000
2,1500.0,49,43972408,3CC7B8C5,41900000,00000000,43974000,3CD1B73F,435B7A80,43DB7A80,47C4491D,43972408,3CC7B8C5,00000000,419024A8,00000000,43972408,3CC7B8C5,00000000,00000000,00000000,00000000
3,1500.0,1,43468000,36F520CD,42263741,00000000,43468000,3741A6B7,483ADF1E,4846A5F2,459C4000,43468000,36F520CD,00000000,42263741,00000000,43468000,36F520CD,00000000,00000000,00000000,00000000
