case,dx,k,paph,puen,pven,pmfu,pmfd,puu,pud,pvu,pvd,ptenu_in,ptenv_in
4,1500.0,25,47735AB4,414BB58E,00000000,3D4663F9,00000000,41318D53,415443CE,00000000,00000000,00000000,00000000
4,1500.0,26,477B75D0,41437D8A,00000000,3D477A9B,00000000,412B5EC6,414BB58E,00000000,00000000,00000000,00000000
4,1500.0,27,4781B970,413B973E,00000000,3D481079,00000000,41256460,41437D8A,00000000,00000000,00000000,00000000
4,1500.0,28,4785A886,4133FEA4,00000000,3D481C6C,00000000,411F9B52,413B973E,00000000,00000000,00000000,00000000
4,1500.0,29,478987B5,412CB030,00000000,3D47963C,00000000,411A0154,4133FEA4,00000000,00000000,00000000,00000000
4,1500.0,30,478D5682,4125A8C4,00000000,3D467725,00000000,4114949A,412CB030,00000000,00000000,00000000,00000000
4,1500.0,31,47911463,411EE59D,00000000,3D44BA4D,00000000,410F53CD,4125A8C4,00000000,00000000,00000000,00000000
4,1500.0,32,4794C0C7,41186459,00000000,3D425D35,00000000,410A3DFA,411EE59D,00000000,00000000,00000000,00000000
4,1500.0,33,47985B0D,411222E8,00000000,3D3F6024,00000000,41055294,41186459,00000000,00000000,00000000,00000000
4,1500.0,34,479BE286,410C1F8D,00000000,3D3BC66E,00000000,41009167,411222E8,00000000,00000000,00000000,00000000
4,1500.0,35,479F5670,410658DC,00000000,3D3796AF,00000000,40F7F52B,410C1F8D,00000000,00000000,00000000,00000000
4,1500.0,36,47A2B5F3,4100CDB4,00000000,3D32DAD9,00000000,40EF1D1F,410658DC,00000000,00000000,00000000,00000000
4,1500.0,37,47A60021,40F6FA98,00000000,3D2DA023,00000000,40E69C1F,4100CDB4,00000000,00000000,00000000,00000000
4,1500.0,38,47A933EB,40ECCE5E,00000000,3D27F6DF,00000000,40DE7438,40F6FA98,00000000,00000000,00000000,00000000
4,1500.0,39,47AC501F,40E31695,00000000,3D21F21F,00000000,40D6A7FE,40ECCE5E,00000000,00000000,00000000,00000000
4,1500.0,40,47AF535C,40D9D402,00000000,3D1BA759,00000000,40CF3AA4,40E31695,00000000,00000000,00000000,00000000
4,1500.0,41,47B23C0A,40D10866,00000000,3D151F7E,00000000,40C82E66,40D9D402,00000000,00000000,00000000,00000000
4,1500.0,42,47B50844,40C8B6BA,00000000,3D0E6D52,00000000,40C1873D,40D10866,00000000,00000000,00000000,00000000
4,1500.0,43,47B7B5C4,40C0E399,00000000,3D07ACEA,00000000,40BB4ABD,40C8B6BA,00000000,00000000,00000000,00000000
4,1500.0,44,47BA41BE,40B995EB,00000000,3D00FBEF,00000000,40B57F7B,40C0E399,00000000,00000000,00000000,00000000
4,1500.0,45,47BCA8A3,40B2D7FE,00000000,3CF4F301,00000000,40B02D77,40B995EB,00000000,00000000,00000000,00000000
4,1500.0,46,47BEE5BD,40ACB9BB,00000000,3CE88D32,BBCFD19F,40AB5EF6,40AF1B7A,00000000,00000000,00000000,00000000
4,1500.0,47,47C0F26C,40A75573,00000000,3CE99ECC,BBCFD19F,40A75573,40AF1B7A,00000000,00000000,00000000,00000000
4,1500.0,48,47C2C476,40A2DE29,00000000,3C87242F,BBCFD19F,40A75573,40AF1B7A,00000000,00000000,00000000,00000000
4,1500.0,49,47C4491D,40A00000,00000000,3BD40F5E,BBCFD19F,40A2DE29,40AF1B7A,00000000,00000000,00000000,00000000
5,1500.0,1,459C4000,42267973,00000000,00000000,00000000,42267973,42267973,00000000,00000000,00000000,00000000
5,1500.0,2,45EE9B40,4218C04E,00000000,00000000,00000000,42267973,42267973,00000000,00000000,00000000,00000000
5,1500.0,3,46202EB0,420DF9F4,00000000,3C8E054C,00000000,41E29AF4,4218C04E,00000000,00000000,00000000,00000000
5,1500.0,4,4648C210,4204F03E,00000000,3C9DEAF2,00000000,41D40737,420DF9F4,00000000,00000000,00000000,00000000
5,1500.0,5,467106C0,41FA410F,00000000,3CAD2055,00000000,41C7B502,4204F03E,00000000,00000000,00000000,00000000
5,1500.0,6,468C7DC8,41EC7768,00000000,3CBBDB6C,00000000,41BD00B5,41FA410F,00000000,00000000,00000000,00000000
5,1500.0,7,46A04FA4,41E01BEE,00000000,3CCA3B2D,00000000,41B38563,41EC7768,00000000,00000000,00000000,00000000
5,1500.0,8,46B3F860,41D4E6EA,00000000,3CD85302,00000000,41AB0001,41E01BEE,00000000,00000000,00000000,00000000
5,1500.0,9,46C77754,41CAA47B,00000000,3CE62FA8,00000000,41A3419D,41D4E6EA,00000000,00000000,00000000,00000000
5,1500.0,10,46DACBE0,41C12DCF,00000000,3CF3D9BA,00000000,419C27E9,41CAA47B,00000000,00000000,00000000,00000000
5,1500.0,11,46EDF550,41B86510,00000000,3D0057DB,00000000,41959B1D,41C12DCF,00000000,00000000,00000000,00000000
5,1500.0,12,47007974,41B032C9,00000000,3D064B04,00000000,418F86EF,41B86510,00000000,00000000,00000000,00000000
5,1500.0,13,4709E1F6,41A88431,00000000,3D0BD556,00000000,4189DAAE,41B032C9,00000000,00000000,00000000,00000000
5,1500.0,14,471333CA,41A149FA,00000000,3D11027B,00000000,418488F0,41A88431,00000000,00000000,00000000,00000000
5,1500.0,15,471C6E89,419A778A,00000000,3D15DEAA,00000000,417F0D36,41A149FA,00000000,00000000,00000000,00000000
