band,i,x_bits,y_bits,x,y
coarse,346,C23167AE,1F814EF2,-4.435124969E+01,5.476422916E-20
coarse,347,C23165C3,1F818D02,-4.434937668E+01,5.486690296E-20
coarse,348,C23163D7,1F81CB4F,-4.434749985E+01,5.496997095E-20
coarse,349,C23161EC,1F82099B,-4.434562683E+01,5.507303249E-20
coarse,350,C2316000,1F824824,-4.434375000E+01,5.517648822E-20
coarse,351,C2315E14,1F8286CC,-4.434187317E+01,5.528014429E-20
coarse,352,C2315C29,1F82C571,-4.434000015E+01,5.538378098E-20
coarse,353,C2315A3D,1F830455,-4.433812332E+01,5.548782479E-20
coarse,354,C2315852,1F834336,-4.433625031E+01,5.559184921E-20
coarse,355,C2315666,1F838257,-4.433437347E+01,5.569628723E-20
coarse,356,C231547B,1F83C175,-4.433250046E+01,5.580070586E-20
coarse,357,C231528F,1F8400D2,-4.433062363E+01,5.590553161E-20
coarse,358,C23150A4,1F84402D,-4.432875061E+01,5.601034444E-20
coarse,359,C2314EB8,1F847FC7,-4.432687378E+01,5.611556440E-20
coarse,360,C2314CCD,1F84BF5E,-4.432500076E+01,5.622076497E-20
coarse,361,C2314AE1,1F84FF35,-4.432312393E+01,5.632637914E-20
coarse,362,C23148F6,1F853F0A,-4.432125092E+01,5.643198037E-20
coarse,363,C231470A,1F857F1F,-4.431937408E+01,5.653799520E-20
